dish_name,price,category,weight,calories,protein,fat,carbs,composition
"Хашбраун с лососем, томатами и сыром",750,Завтрак,230,185,6.50,10.50,14.00,"картофель, лосось,сыр творожный, томаты черри, рукола, шпинат, устричный соус, растительное масло, специи"
Авокадо-тост с яйцом пашот,380,Завтрак,180,320,11.00,21.50,18.50,"хлеб, авокадо, куриное яйцо,лимонный сок, оливковое масло, специи, уксус"
Яичница с беконом,470,Завтрак,250,340,21.00,28.00,0.80,"куриное яйцо 3, бекон 3, специи, томаты черри, хлеб, руккола, специи"
"Сморреборд с беконом, маринованным красным луком и яйцом пашот",490,Завтрак,170,390,16.50,24.00,27.00,"хлеб, бекон 3, маринованный красный лук, сыр творожный, руккола, уксус, специи  "
Бельгийские вафли,590,Завтрак,180,310,7.00,13.50,40.00,"мука 200, куриное яйцо 2, молоко 150, сливочное масло 60, сахар 2, соль (карамель, лосось и творожный сыр, цыпленок и сыр пармезан)"
Овсяная каша с бананом и сезонными ягодами,490,Завтрак,170,140,4.00,2.00,52.00,"овсяные хлопья 50, молоко 200, банан 1, ягоды 50, соль"
Сырники с карамелью и сезонными ягодами,490,Завтрак,200,460,26.00,18.50,47.00,"творог 300, куриное яйцо 1, мука 20, сахар 2, соль, растительное масло, карамель 2, ягоды 50"
"Салат с хрустящими баклажанами, спелыми томатами и творожным сыром",420,Салаты,250,410,9.2,26.5,34.00,"баклажан 1, томат 2, творожный сыр, кинза, соус сладкий чили"
Салат с воздушными креветками и ореховым соусом,560,Салаты,210,340,14.5,22.0,19.5,"Тигровые креветки в темпуре, микс салата, огурцы, кунжутно-ореховый соус"
Стейк-салат с мраморным бычком,690,Салаты,230,430,26.0,28.5,16.0,"говядина 200, микс салата, черри, печеный перец, горчичная заправка"
Салат из фирменного реберного мяса с чесночной заправкой,590,Салаты,240,480,22.4,36.0,15.2,"реберное мясо, картофель 2, маринованные огурцы 3, чесночный соус"
Салат с мраморной говядиной и маринованным луком,620,Салаты,220,395,24.5,25.0,17.5,"Слайсы мраморной говядины гриль, красный маринованный лук, зелень, пикантная заправка"
Цезарь с курицей,390,Салаты,220,380,21.0,24.5,18.0,"куриное филе  150, салат романо, гренки, пармезан, соус цезарь, черри"
Цезарь с креветками,510,Салаты,200,320,16.5,21.0,16.5,"креветки 5, салат романо, гренки, пармезан, соус цезарь, черри"
Креветки Том Ям на рисовом чипсе,590,Закуски,120,265,14.2,12.5,23.8,"креветки 5, рисовая бумага, соус Том Ям, кляр, икра летучей рыбы, кунжут, масло зеленое"
Мидии запечённые,490,Закуски,110,240,11.5,18.2,7.6,"мидии 4, сливочный соус, сыр моцарелла, икра летучей рыбы, соус унаги"
Тартар из мраморной говядины,620,Закуски,120,195,18.4,12.1,3.2,"перец болгарский, мраморная говядина, лук красный, каперсы, пармезан, соус устричный, острый соус шрирача, зеленое масло, специи"
Рулетики из цукини с креветками темпура,450,Закуски,140,290,9.8,20.4,16.8,"цукини, креветки, сыр творожный, кляр, икра летучей рыбы, соус унаги, микрозелень"
Карпаччо из лосося,790,Закуски,100,160,19.2,8.5,1.8,"лосось, лайм, базилик, цитрусовый гель, цедра апельсина, зеленое масло"
Креветки темпура,445,Фри,130,340,13.5,19.8,27.0,"креветки 5, кляр, панировка, соус сладкий чили, соус унаги, кунжут"
Сырные палочки Чеддер,530,Фри,160,510,18.2,34.5,31.6,"сыр чеддер, кляр, панировка, брусничный соус"
Картофель фри,325,Фри,180,430,5.2,22.0,52.8,"картофель 3, соус сырный, соль"
Картофельные дольки со специями,325,Фри,180,415,5.5,19.5,54.2,"картофель 3, специи, соус сырный, соль"
Наггетсы,350,Фри,160,420,16.8,23.4,35.5,"куриные наггетсы 6, соус сырный"
Крылья куриные Баффало,550,Фри,250,580,34.2,41.0,18.5,"куриный крылья  6, соус ВВQ 30, специи"
Том ям Кунг,695,Супы,350,420,21.5,18.2,42.5,"Бульон Том ям, кокосовое молоко, рис, томаты, вешенки, кальмары, мидии, креветки, лайм, кинза, перец чили"
Крем-суп с тигровыми креветками,580,Супы,250,345,13.2,24.8,17.4,"Цветная капуста, сливочное масло, сливки, креветки, лук репчатый, пармезан, сухарики, специи, четверговая соль, зеленое масло"
Куриный бульон,450,Супы,335,290,18.4,9.6,32.5,"Бульон куриный, мясо цыпленка, лапша домашняя, яйцо, сухарики, лавровый лист, зелень свежая, соль, перец молотый"
Борщ,490,Супы,350,360,14.8,22.0,25.6,"Говяжий бульон, говядина, свекла, капуста, картофель, лук, морковь, томатная паста, зелень, подается со сметаной"
Солянка,520,Супы,320,395,21.2,28.4,13.5,"Мясной бульон, сборное мясное ассорти (копчености, говядина), соленые огурцы, лук, томатная паста, оливки, лимон, сметана, зелень"
Авокадо на гриле,390,Гарниры,100,195,3.2,16.4,8.8,"Авокадо, сыр творожный, малиновый соус, зелень микс, масло растительное"
Картофельное пюре с пармезаном,330,Гарниры,130,185,4.8,8.5,22.4,"Картофельное пюре, пармезан, зелень"
Овощи на гриле,360,Гарниры,120,145,3.6,9.2,11.8,"Цукини, шампиньоны, перец болгарский, карамелизированный лук, копченый перец, сушеный бекон, гималайская соль"
Карбонара,600,Паста,310,720,24.5,38.2,69.5,"Паста спагетти, сливки, бекон, пармезан, лук репчатый, соус унаги, яйцо перепелиное, специи"
Паста с чернилами каракатицы и тигровыми креветками,695,Паста,280,580,26.4,21.5,70.2,"Паста с чернилами каракатицы, сливки, креветки, пармезан, масло сливочное, унаги, устричный соус, специи"
"Ньокки с рваной говядиной, грибами и трюфельным соусом",750,Паста,250,510,19.8,24.2,53.0,"Ньокки, говядина, шампиньоны, лук репчатый, сливки, бульон куриный, пармезан, трюфельная паста, масло зеленое, специи"
Рёбра с картофельными дольками,850,Горячее,340,790,31.5,54.2,44.0,"Ребра свиные деликатесные, соус унаги, картофельные дольки, лук криспи, лук зеленый"
Стейк Нью-Йорк,1850,Горячее,330,680,52.4,49.8,5.6,"Стейк стриплойн, четверговая соль, черный перец, соус барбекю, соус сливочно-перечный"
Cалат из свежих овощей,400,Салат,130,110,1.4,9.2,5.4,"Огурцы, томаты черри, салат микс, лук красный, уксус, масло чесночное, соль"
Мраморные телячьи щечки с картофельным пюре,800,Горячее,240,460,24.8,28.5,26.0,"Картофельное пюре, щечки телячьи, соус унаги, томатный соус, зеленое масло, лук криспи"
Котлетки из лосося и креветок с цветной капустой фри,1090,Горячее,250,430,26.2,27.4,19.8,"Лосось, креветки, цветная капуста, кляр, сливки, соус песто, икра летучей рыбы, масло зеленое, специи"
Котлетки домашние с трюфельным соусом и картофельным пюре,790,Горячее,250,495,21.0,33.5,27.2,"Фарш домашний (свинина, говядина), пюре картофельное, соус трюфельный, масло зеленое, криспи лук, специи"
Морской окунь с кремом из брокколи,770,Горячее,250,310,28.4,16.5,12.0,"Морской окунь, крем из брокколи и творожного сыра, соус чимичурри, соус овощная сальса, специи"
Грудка цыпленка с картофельным кремом и грибным соусом,700,Горячее,320,415,36.8,18.2,26.1,"Грудка цыпленка, картофельное пюре, шампиньоны, лук репчатый, чеснок, молоко, сливки, масло растительное, специи"
Сырная пицца,920,Неаполитанская пицца,590,1820,72.5,78.4,206.0,"Тесто, сырный соус, камамбер, моцарелла, чеддер, сыр с голубой плесенью, мед, специи"
Маргарита,940,Неаполитанская пицца,570,1380,54.2,46.8,185.5,"Тесто, красный соус, моцарелла, моцарелла гальбани, томаты вяленые, базилик, песто, специи"
Пепперони,690,Неаполитанская пицца,530,1490,59.4,58.2,182.0,"Тесто, красный соус, моцарелла, пепперони, чесночное масло, зеленое масло, специи"
Куриная с грибами,800,Неаполитанская пицца,630,1540,76.5,49.2,197.8,"Тесто, грибной соус, моцарелла, курица, шампиньоны, вешенки, зеленое масло, чесночное масло, специи"
Деревенская,870,Неаполитанская пицца,690,1810,81.2,68.4,217.5,"Тесто, грибной соус, моцарелла, картофель по-деревенски, курица, шампиньоны, колбаски, корнишоны, красный лук, зеленое масло, чесночное масло, специи"
Гавайская,770,Неаполитанская пицца,620,1480,71.4,44.6,198.2,"Тесто, сливочно-перечный соус, моцарелла, курица, ананасы, зеленое масло, специи"
Пицца острая Чили-Черри,840,Неаполитанская пицца,630,1690,68.5,71.2,193.8,"Тесто, сливочный соус, моцарелла, помидоры, перец, бекон, корнишоны, колбаски, зелёное масло, чесночное масло, приправы"
Пицца с креветками и цукини,960,Неаполитанская пицца,630,1420,64.8,43.5,192.4,"Тесто, сливочно-перечный соус, креветки, моцарелла, цукини, унаги, чесночное масло, приправы"
Мясная,1000,Неаполитанская пицца,640,1780,92.4,74.0,186.2,"Тесто, красный соус, моцарелла, говядина, курица, окорок, бекон, колбаски, соус барбекю, чесночное масло, приправы"
